version 1, schema character_trait_levels_tables
Trait_Level_ID(string)	Level(int)	Trait_IDRef(string)	Threshold(int)
"C_Admiral_British_Drakes_Drum_1"	1	"C_Admiral_British_Drakes_Drum"	1
"C_Admiral_British_Drakes_Drum_2"	2	"C_Admiral_British_Drakes_Drum"	3
"C_Admiral_British_Drakes_Drum_3"	3	"C_Admiral_British_Drakes_Drum"	6
"C_Admiral_Coward_1"	1	"C_Admiral_Coward"	1
"C_Admiral_Coward_2"	2	"C_Admiral_Coward"	4
"C_Admiral_Coward_3"	3	"C_Admiral_Coward"	7
"C_Admiral_Coward_4"	4	"C_Admiral_Coward"	11
"C_Admiral_Cruisers_1"	1	"C_Admiral_Cruisers"	2
"C_Admiral_Cruisers_2"	2	"C_Admiral_Cruisers"	5
"C_Admiral_Cruisers_3"	3	"C_Admiral_Cruisers"	8
"C_Admiral_Defender_Bad_1"	1	"C_Admiral_Defender_Bad"	4
"C_Admiral_Defender_Bad_2"	2	"C_Admiral_Defender_Bad"	8
"C_Admiral_Defender_Bad_3"	3	"C_Admiral_Defender_Bad"	16
"C_Admiral_Defender_Good_1"	1	"C_Admiral_Defender_Good"	3
"C_Admiral_Defender_Good_2"	2	"C_Admiral_Defender_Good"	6
"C_Admiral_Defender_Good_3"	3	"C_Admiral_Defender_Good"	12
"C_Admiral_Defender_Good_4"	4	"C_Admiral_Defender_Good"	18
"C_Admiral_Drunkard_1"	1	"C_Admiral_Drunkard"	2
"C_Admiral_Drunkard_2"	2	"C_Admiral_Drunkard"	4
"C_Admiral_Drunkard_3"	3	"C_Admiral_Drunkard"	8
"C_Admiral_Drunkard_4"	4	"C_Admiral_Drunkard"	16
"C_Admiral_Dutch_Seamanship_1"	1	"C_Admiral_Dutch_Seamanship"	1
"C_Admiral_Dutch_Seamanship_2"	2	"C_Admiral_Dutch_Seamanship"	3
"C_Admiral_Dutch_Seamanship_3"	3	"C_Admiral_Dutch_Seamanship"	6
"C_Admiral_Good_1"	1	"C_Admiral_Good"	2
"C_Admiral_Good_2"	2	"C_Admiral_Good"	4
"C_Admiral_Good_3"	3	"C_Admiral_Good"	8
"C_Admiral_Good_4"	4	"C_Admiral_Good"	16
"C_Admiral_Good_5"	5	"C_Admiral_Good"	32
"C_Admiral_Lampooned_1"	1	"C_Admiral_Lampooned"	1
"C_Admiral_Lampooned_2"	2	"C_Admiral_Lampooned"	3
"C_Admiral_Lampooned_3"	3	"C_Admiral_Lampooned"	6
"C_Admiral_Mad_1"	1	"C_Admiral_Mad"	1
"C_Admiral_Mad_2"	2	"C_Admiral_Mad"	4
"C_Admiral_Mad_3"	3	"C_Admiral_Mad"	9
"C_Admiral_Martinet_1"	1	"C_Admiral_Martinet"	1
"C_Admiral_Martinet_2"	2	"C_Admiral_Martinet"	3
"C_Admiral_Martinet_3"	3	"C_Admiral_Martinet"	7
"C_Admiral_Mathematician_1"	1	"C_Admiral_Mathematician"	1
"C_Admiral_Mathematician_2"	2	"C_Admiral_Mathematician"	4
"C_Admiral_Press_Hero_1"	1	"C_Admiral_Press_Hero"	1
"C_Admiral_Press_Hero_2"	2	"C_Admiral_Press_Hero"	3
"C_Admiral_Press_Hero_3"	3	"C_Admiral_Press_Hero"	6
"C_Admiral_Rated_Ships_1"	1	"C_Admiral_Rated_Ships"	2
"C_Admiral_Rated_Ships_2"	2	"C_Admiral_Rated_Ships"	5
"C_Admiral_Rated_Ships_3"	3	"C_Admiral_Rated_Ships"	8
"C_Admiral_Slacker_1"	1	"C_Admiral_Slacker"	2
"C_Admiral_Slacker_2"	2	"C_Admiral_Slacker"	4
"C_Admiral_Slacker_3"	3	"C_Admiral_Slacker"	8
"C_Admiral_Sobriety_1"	1	"C_Admiral_Sobriety"	1
"C_Admiral_Sobriety_2"	2	"C_Admiral_Sobriety"	3
"C_Admiral_Sobriety_3"	3	"C_Admiral_Sobriety"	6
"C_Admiral_Spanish_National_Pride_1"	1	"C_Admiral_Spanish_National_Pride"	1
"C_Admiral_Spanish_National_Pride_2"	2	"C_Admiral_Spanish_National_Pride"	3
"C_Admiral_Spanish_National_Pride_3"	3	"C_Admiral_Spanish_National_Pride"	6
"C_Admiral_Swashbuckling_1"	1	"C_Admiral_Swashbuckling"	1
"C_Agent_Secret_Police_1"	1	"C_Agent_Secret_Police"	1
"C_Agent_Secret_Police_2"	2	"C_Agent_Secret_Police"	3
"C_Agent_Secret_Police_3"	3	"C_Agent_Secret_Police"	7
"C_Agent_Secret_Police_4"	4	"C_Agent_Secret_Police"	12
"C_Agent_Secret_Police_5"	5	"C_Agent_Secret_Police"	18
"C_Agent_Spy_Network_1"	1	"C_Agent_Spy_Network"	1
"C_Agent_Spy_Network_2"	2	"C_Agent_Spy_Network"	3
"C_Agent_Spy_Network_3"	3	"C_Agent_Spy_Network"	7
"C_Agent_Spy_Network_4"	4	"C_Agent_Spy_Network"	12
"C_Agent_Spy_Network_5"	5	"C_Agent_Spy_Network"	18
"C_Agent_Spy_Network_6"	6	"C_Agent_Spy_Network"	25
"C_Feck_Vice_1"	1	"C_Feck_Vice"	2
"C_Feck_Vice_2"	2	"C_Feck_Vice"	4
"C_Feck_Vice_3"	3	"C_Feck_Vice"	8
"C_Feck_Vice_4"	4	"C_Feck_Vice"	16
"C_Feck_Vice_5"	5	"C_Feck_Vice"	24
"C_Feck_Vice_6"	6	"C_Feck_Vice"	32
"C_General_Ambush_Good_1"	1	"C_General_Ambush_Good"	1
"C_General_Ambush_Good_2"	2	"C_General_Ambush_Good"	6
"C_General_Ambush_Good_3"	3	"C_General_Ambush_Good"	12
"C_General_Ambusher_Bad_1"	1	"C_General_Ambusher_Bad"	4
"C_General_Ambusher_Bad_2"	2	"C_General_Ambusher_Bad"	8
"C_General_Ambusher_Bad_3"	3	"C_General_Ambusher_Bad"	16
"C_General_Americas_Bad_1"	1	"C_General_Americas_Bad"	4
"C_General_Americas_Bad_2"	2	"C_General_Americas_Bad"	8
"C_General_Americas_Good_1"	1	"C_General_Americas_Good"	4
"C_General_Americas_Good_2"	2	"C_General_Americas_Good"	8
"C_General_Attacker_Bad_1"	1	"C_General_Attacker_Bad"	4
"C_General_Attacker_Bad_2"	2	"C_General_Attacker_Bad"	8
"C_General_Attacker_Bad_3"	3	"C_General_Attacker_Bad"	16
"C_General_Attacker_Good_1"	1	"C_General_Attacker_Good"	3
"C_General_Attacker_Good_2"	2	"C_General_Attacker_Good"	6
"C_General_Attacker_Good_3"	3	"C_General_Attacker_Good"	12
"C_General_Attacker_Good_4"	4	"C_General_Attacker_Good"	18
"C_General_Attacker_Good_5"	5	"C_General_Attacker_Good"	24
"C_General_Austrian_Hates_Ottomans_1"	1	"C_General_Austrian_Hates_Ottomans"	1
"C_General_Austrian_Hates_Ottomans_2"	2	"C_General_Austrian_Hates_Ottomans"	3
"C_General_Austrian_Hates_Ottomans_3"	3	"C_General_Austrian_Hates_Ottomans"	6
"C_General_Bad_1"	1	"C_General_Bad_Field_Commander"	3
"C_General_Bad_2"	2	"C_General_Bad_Field_Commander"	7
"C_General_Bad_3"	3	"C_General_Bad_Field_Commander"	12
"C_General_Bad_4"	4	"C_General_Bad_Field_Commander"	24
"C_General_Bad_5"	5	"C_General_Bad_Field_Commander"	36
"C_General_Bloody_1"	1	"C_General_Bloody"	1
"C_General_Bloody_2"	2	"C_General_Bloody"	6
"C_General_Bloody_3"	3	"C_General_Bloody"	12
"C_General_Born_Soldier_1"	1	"C_General_Born_Soldier"	1
"C_General_Born_Soldier_2"	2	"C_General_Born_Soldier"	3
"C_General_Born_Soldier_3"	3	"C_General_Born_Soldier"	6
"C_General_Brave_1"	1	"C_General_Brave"	1
"C_General_Brave_2"	2	"C_General_Brave"	2
"C_General_Brave_3"	3	"C_General_Brave"	4
"C_General_Brave_4"	4	"C_General_Brave"	7
"C_General_Brave_5"	5	"C_General_Brave"	11
"C_General_Coward_1"	1	"C_General_Coward"	1
"C_General_Coward_2"	2	"C_General_Coward"	3
"C_General_Coward_3"	3	"C_General_Coward"	7
"C_General_Coward_4"	4	"C_General_Coward"	15
"C_General_Defend_Good_1"	1	"C_General_Defender_Good"	3
"C_General_Defend_Good_2"	2	"C_General_Defender_Good"	6
"C_General_Defend_Good_3"	3	"C_General_Defender_Good"	12
"C_General_Defend_Good_4"	4	"C_General_Defender_Good"	18
"C_General_Defend_Good_5"	5	"C_General_Defender_Good"	24
"C_General_Defender_Bad_1"	1	"C_General_Defender_Bad"	4
"C_General_Defender_Bad_2"	2	"C_General_Defender_Bad"	8
"C_General_Defender_Bad_3"	3	"C_General_Defender_Bad"	16
"C_General_Drunkard_1"	1	"C_General_Drunkard"	2
"C_General_Drunkard_2"	2	"C_General_Drunkard"	4
"C_General_Drunkard_3"	3	"C_General_Drunkard"	8
"C_General_Drunkard_4"	4	"C_General_Drunkard"	16
"C_General_French_Elan_1"	1	"C_General_French_Elan"	1
"C_General_French_Elan_2"	2	"C_General_French_Elan"	3
"C_General_French_Elan_3"	3	"C_General_French_Elan"	6
"C_General_Good_Field_Commander_1"	1	"C_General_Good_Field_Commander"	1
"C_General_Good_Field_Commander_2"	2	"C_General_Good_Field_Commander"	3
"C_General_Good_Field_Commander_3"	3	"C_General_Good_Field_Commander"	6
"C_General_Good_Field_Commander_4"	4	"C_General_Good_Field_Commander"	14
"C_General_Good_Field_Commander_5"	5	"C_General_Good_Field_Commander"	30
"C_General_India_Bad_1"	1	"C_General_India_Bad"	4
"C_General_India_Bad_2"	2	"C_General_India_Bad"	8
"C_General_India_Good_1"	1	"C_General_India_Good"	4
"C_General_India_Good_2"	2	"C_General_India_Good"	8
"C_General_Lampooned_1"	1	"C_General_Lampooned"	1
"C_General_Lampooned_2"	2	"C_General_Lampooned"	3
"C_General_Lampooned_3"	3	"C_General_Lampooned"	6
"C_General_Mad_1"	1	"C_General_Mad"	1
"C_General_Mad_2"	2	"C_General_Mad"	4
"C_General_Mad_3"	3	"C_General_Mad"	9
"C_General_Marine_Bad_1"	1	"C_General_Marine_Bad"	4
"C_General_Marine_Bad_2"	2	"C_General_Marine_Bad"	8
"C_General_Marine_Bad_3"	3	"C_General_Marine_Bad"	16
"C_General_Marine_Good_1"	1	"C_General_Marine_Good"	3
"C_General_Marine_Good_2"	2	"C_General_Marine_Good"	6
"C_General_Marine_Good_3"	3	"C_General_Marine_Good"	12
"C_General_Martinet_1"	1	"C_General_Martinet"	1
"C_General_Martinet_2"	2	"C_General_Martinet"	3
"C_General_Martinet_3"	3	"C_General_Martinet"	7
"C_General_Mughal_Anti_European_1"	1	"C_General_Mughal_Anti_European"	1
"C_General_Mughal_Anti_European_2"	2	"C_General_Mughal_Anti_European"	3
"C_General_Mughal_Anti_European_3"	3	"C_General_Mughal_Anti_European"	6
"C_General_of_Artillery_1"	1	"C_General_of_Artillery"	2
"C_General_of_Artillery_2"	2	"C_General_of_Artillery"	4
"C_General_of_Artillery_3"	3	"C_General_of_Artillery"	8
"C_General_of_Cavalry_1"	1	"C_General_of_Cavalry"	2
"C_General_of_Cavalry_2"	2	"C_General_of_Cavalry"	4
"C_General_of_Cavalry_3"	3	"C_General_of_Cavalry"	8
"C_General_of_Infantry_1"	1	"C_General_of_Infantry"	3
"C_General_of_Infantry_2"	2	"C_General_of_Infantry"	6
"C_General_of_Infantry_3"	3	"C_General_of_Infantry"	10
"C_General_Polish_Stubborn_1"	1	"C_General_Polish_Stubborn"	1
"C_General_Polish_Stubborn_2"	2	"C_General_Polish_Stubborn"	3
"C_General_Polish_Stubborn_3"	3	"C_General_Polish_Stubborn"	6
"C_General_Press_Hero_1"	1	"C_General_Press_Hero"	1
"C_General_Press_Hero_2"	2	"C_General_Press_Hero"	3
"C_General_Press_Hero_3"	3	"C_General_Press_Hero"	6
"C_General_Prussian_Blue_1"	1	"C_General_Prussian_Blue"	1
"C_General_Prussian_Blue_2"	2	"C_General_Prussian_Blue"	3
"C_General_Prussian_Blue_3"	3	"C_General_Prussian_Blue"	6
"C_General_Russian_Vodka_1"	1	"C_General_Russian_Vodka"	1
"C_General_Russian_Vodka_2"	2	"C_General_Russian_Vodka"	3
"C_General_Russian_Vodka_3"	3	"C_General_Russian_Vodka"	6
"C_General_Scout_1"	1	"C_General_Scout"	4
"C_General_Scout_2"	2	"C_General_Scout"	8
"C_General_Siege_Attack_Bad_1"	1	"C_General_Siege_Attack_Bad"	4
"C_General_Siege_Attack_Bad_2"	2	"C_General_Siege_Attack_Bad"	8
"C_General_Siege_Attack_Bad_3"	3	"C_General_Siege_Attack_Bad"	16
"C_General_Siege_Attack_Good_1"	1	"C_General_Siege_Attack_Good"	3
"C_General_Siege_Attack_Good_2"	2	"C_General_Siege_Attack_Good"	6
"C_General_Siege_Attack_Good_3"	3	"C_General_Siege_Attack_Good"	12
"C_General_Siege_Attack_Good_4"	4	"C_General_Siege_Attack_Good"	18
"C_General_Siege_Defend_Bad_1"	1	"C_General_Siege_Defend_Bad"	4
"C_General_Siege_Defend_Bad_2"	2	"C_General_Siege_Defend_Bad"	8
"C_General_Siege_Defend_Bad_3"	3	"C_General_Siege_Defend_Bad"	16
"C_General_Siege_Defend_Good_1"	1	"C_General_Siege_Defend_Good"	3
"C_General_Siege_Defend_Good_2"	2	"C_General_Siege_Defend_Good"	6
"C_General_Siege_Defend_Good_3"	3	"C_General_Siege_Defend_Good"	12
"C_General_Siege_Defend_Good_4"	4	"C_General_Siege_Defend_Good"	18
"C_General_Slacker_1"	1	"C_General_Slacker"	1
"C_General_Slacker_2"	2	"C_General_Slacker"	3
"C_General_Slacker_3"	3	"C_General_Slacker"	7
"C_General_Swedish_Aggression_1"	1	"C_General_Swedish_Aggression"	1
"C_General_Swedish_Aggression_2"	2	"C_General_Swedish_Aggression"	3
"C_General_Swedish_Aggression_3"	3	"C_General_Swedish_Aggression"	6
"C_General_Turkish_Master_Gunner_1"	1	"C_General_Turkish_Master_Gunner"	1
"C_General_Turkish_Master_Gunner_2"	2	"C_General_Turkish_Master_Gunner"	3
"C_General_Turkish_Master_Gunner_3"	3	"C_General_Turkish_Master_Gunner"	6
"C_General_US_Backwoodsman_1"	1	"C_General_US_Backwoodsman"	1
"C_General_US_Backwoodsman_2"	2	"C_General_US_Backwoodsman"	3
"C_General_US_Backwoodsman_3"	3	"C_General_US_Backwoodsman"	6
"C_General_Warlord_1"	1	"C_General_Warlord"	2
"C_General_Warlord_2"	2	"C_General_Warlord"	4
"C_General_Warlord_3"	3	"C_General_Warlord"	8
"C_General_Warlord_4"	4	"C_General_Warlord"	14
"C_Gent_Academic_Honours_1"	1	"C_Gent_Academic_Honours"	1
"C_Gent_Academic_Honours_2"	2	"C_Gent_Academic_Honours"	3
"C_Gent_Academic_Honours_3"	3	"C_Gent_Academic_Honours"	6
"C_Gent_Academic_Honours_4"	4	"C_Gent_Academic_Honours"	9
"C_Gent_Duelling_Pistol_1"	1	"C_Gent_Duelling_Pistol"	1
"C_Gent_Duelling_Pistol_2"	2	"C_Gent_Duelling_Pistol"	3
"C_Gent_Duelling_Pistol_3"	3	"C_Gent_Duelling_Pistol"	6
"C_Gent_Duelling_Sword_1"	1	"C_Gent_Duelling_Sword"	1
"C_Gent_Duelling_Sword_2"	2	"C_Gent_Duelling_Sword"	3
"C_Gent_Duelling_Sword_3"	3	"C_Gent_Duelling_Sword"	6
"C_Gent_Piety_3"	3	"C_Personal_Piety"	6
"C_Gent_Research_Agriculture_1"	1	"C_Gent_Research_Agriculture"	1
"C_Gent_Research_Agriculture_2"	2	"C_Gent_Research_Agriculture"	3
"C_Gent_Research_Agriculture_3"	3	"C_Gent_Research_Agriculture"	6
"C_Gent_Research_Agriculture_4"	4	"C_Gent_Research_Agriculture"	14
"C_Gent_Research_Economics_1"	1	"C_Gent_Research_Economics"	1
"C_Gent_Research_Economics_2"	2	"C_Gent_Research_Economics"	3
"C_Gent_Research_Economics_3"	3	"C_Gent_Research_Economics"	8
"C_Gent_Research_Economics_4"	4	"C_Gent_Research_Economics"	14
"C_Gent_Research_Industry_1"	1	"C_Gent_Research_Industry"	1
"C_Gent_Research_Industry_2"	2	"C_Gent_Research_Industry"	3
"C_Gent_Research_Industry_3"	3	"C_Gent_Research_Industry"	8
"C_Gent_Research_Industry_4"	4	"C_Gent_Research_Industry"	14
"C_Gent_Research_Military_1"	1	"C_Gent_Research_Military"	1
"C_Gent_Research_Military_2"	2	"C_Gent_Research_Military"	3
"C_Gent_Research_Military_3"	3	"C_Gent_Research_Military"	8
"C_Gent_Research_Military_4"	4	"C_Gent_Research_Military"	14
"C_Gent_Research_Navy_1"	1	"C_Gent_Research_Navy"	1
"C_Gent_Research_Navy_2"	2	"C_Gent_Research_Navy"	3
"C_Gent_Research_Navy_3"	3	"C_Gent_Research_Navy"	8
"C_Gent_Research_Navy_4"	4	"C_Gent_Research_Navy"	14
"C_Gent_Research_Philosophy_1"	1	"C_Gent_Research_Philosophy"	1
"C_Gent_Research_Philosophy_2"	2	"C_Gent_Research_Philosophy"	3
"C_Gent_Research_Philosophy_3"	3	"C_Gent_Research_Philosophy"	8
"C_Gent_Research_Philosophy_4"	4	"C_Gent_Research_Philosophy"	14
"C_Gent_Science_Club_1"	1	"C_Gent_Science_Club"	1
"C_Gent_Science_Club_2"	2	"C_Gent_Science_Club"	3
"C_Gent_Science_Club_3"	3	"C_Gent_Science_Club"	6
"C_Honourable_Service_1"	1	"C_Honourable_Service"	2
"C_Minister_Unjust_1"	1	"C_Minister_Unjust"	1
"C_Minister_Unjust_2"	2	"C_Minister_Unjust"	3
"C_Minister_Unjust_3"	3	"C_Minister_Unjust"	6
"C_Minister_Upright_1"	1	"C_Minister_Upright"	1
"C_Minister_Upright_2"	2	"C_Minister_Upright"	3
"C_Minister_Upright_3"	3	"C_Minister_Upright"	6
"C_Missionary_Gone_Native_1"	1	"C_Missionary_Gone_Native"	5
"C_Missionary_Hate_America_1"	1	"C_Missionary_Hate_America"	1
"C_Missionary_Hate_America_2"	2	"C_Missionary_Hate_America"	3
"C_Missionary_Hate_Europe_1"	1	"C_Missionary_Hate_Europe"	1
"C_Missionary_Hate_Europe_2"	2	"C_Missionary_Hate_Europe"	3
"C_Missionary_Hate_India_1"	1	"C_Missionary_Hate_India"	1
"C_Missionary_Hate_India_2"	2	"C_Missionary_Hate_India"	3
"C_Missionary_Hate_India_3"	3	"C_Missionary_Hate_India"	6
"C_Missionary_Like_America_1"	1	"C_Missionary_Like_America"	1
"C_Missionary_Like_America_2"	2	"C_Missionary_Like_America"	3
"C_Honourable_Service_2"	2	"C_Honourable_Service"	4
"C_Honourable_Service_3"	3	"C_Honourable_Service"	8
"C_Honourable_Service_4"	4	"C_Honourable_Service"	16
"C_Honourable_Service_5"	5	"C_Honourable_Service"	24
"C_Infected_Cholera_1"	1	"C_Infected_Cholera"	1
"C_Infected_Cholera_2"	2	"C_Infected_Cholera"	2
"C_Infected_Dengue_Fever"	1	"C_Infected_Dengue_Fever"	1
"C_Infected_Dysentry_1"	1	"C_Infected_Dysentry"	1
"C_Infected_Influenza_1"	1	"C_Infected_Influenza"	1
"C_Infected_Leprosy_1"	1	"C_Infected_Leprosy"	1
"C_Infected_Leprosy_2"	2	"C_Infected_Leprosy"	3
"C_Infected_Malaria_1"	1	"C_Infected_Malaria"	1
"C_Infected_Malaria_2"	2	"C_Infected_Malaria"	2
"C_Infected_Measles_1"	1	"C_Infected_Measles"	1
"C_Infected_Plague_1"	1	"C_Infected_Plague"	1
"C_Infected_Scurvy_1"	1	"C_Infected_Scurvy"	1
"C_Infected_Smallpox_1"	1	"C_Infected_Smallpox"	1
"C_Infected_Smallpox_2"	2	"C_Infected_Smallpox"	2
"C_Infected_TB_1"	1	"C_Infected_TB"	1
"C_Infected_TB_2"	2	"C_Infected_TB"	2
"C_Infected_Typhus_1"	1	"C_Infected_Typhus"	1
"C_Infected_Typhus_2"	2	"C_Infected_Typhus"	2
"C_Infected_Yellow_Fever_1"	1	"C_Infected_Yellow_Fever"	1
"C_Infected_Yellow_Fever_2"	2	"C_Infected_Yellow_Fever"	2
"C_Leader_Agent_99_1"	1	"C_Leader_Agent_99"	3
"C_Leader_Agent_99_2"	2	"C_Leader_Agent_99"	5
"C_Leader_Army_Buff_1"	1	"C_Leader_Army_Buff"	1
"C_Leader_Army_Buff_2"	2	"C_Leader_Army_Buff"	3
"C_Leader_Army_Buff_3"	3	"C_Leader_Army_Buff"	6
"C_Leader_Clever_Stick_1"	1	"C_Leader_Clever_Stick"	1
"C_Leader_Clever_Stick_2"	2	"C_Leader_Clever_Stick"	3
"C_Leader_Clever_Stick_3"	3	"C_Leader_Clever_Stick"	6
"C_Leader_Debauched_1"	1	"C_Leader_Debauched"	1
"C_Leader_Debauched_2"	2	"C_Leader_Debauched"	3
"C_Leader_Debauched_3"	3	"C_Leader_Debauched"	6
"C_Leader_Debauched_4"	4	"C_Leader_Debauched"	9
"C_Leader_Dullard_1"	1	"C_Leader_Dullard"	1
"C_Leader_Dullard_2"	2	"C_Leader_Dullard"	3
"C_Leader_Dullard_3"	3	"C_Leader_Dullard"	6
"C_Leader_Enlightened_Despot_1"	1	"C_Leader_Enlightened_Despot"	6
"C_Leader_Favourites_1"	1	"C_Leader_Favourites"	6
"C_Leader_Fertile_1"	1	"C_Leader_Fertile"	1
"C_Leader_Fertile_2"	2	"C_Leader_Fertile"	2
"C_Leader_Fertile_3"	3	"C_Leader_Fertile"	5
"C_Leader_Foreign_Tastes_1"	1	"C_Leader_Foreign_Tastes"	1
"C_Leader_Foreign_Tastes_2"	2	"C_Leader_Foreign_Tastes"	3
"C_Leader_Foreign_Tastes_3"	3	"C_Leader_Foreign_Tastes"	6
"C_Leader_Harsh_Ruler_1"	1	"C_Leader_Harsh_Ruler"	5
"C_Leader_Harsh_Ruler_2"	2	"C_Leader_Harsh_Ruler"	10
"C_Leader_Harsh_Ruler_3"	3	"C_Leader_Harsh_Ruler"	20
"C_Leader_Humanist_1"	1	"C_Leader_Humanist"	1
"C_Leader_Humanist_2"	2	"C_Leader_Humanist"	3
"C_Leader_Humanist_3"	3	"C_Leader_Humanist"	6
"C_Leader_Huntin_Shootin_Fishin_1"	1	"C_Leader_Huntin_Shootin_Fishin"	1
"C_Leader_Huntin_Shootin_Fishin_2"	2	"C_Leader_Huntin_Shootin_Fishin"	3
"C_Leader_Huntin_Shootin_Fishin_3"	3	"C_Leader_Huntin_Shootin_Fishin"	6
"C_Leader_Inbred_1"	1	"C_Leader_Inbred"	1
"C_Leader_Inbred_2"	2	"C_Leader_Inbred"	3
"C_Leader_Inbred_3"	3	"C_Leader_Inbred"	7
"C_Leader_Infertile_1"	1	"C_Leader_Infertile"	1
"C_Leader_Infertile_2"	2	"C_Leader_Infertile"	3
"C_Leader_Infertile_3"	3	"C_Leader_Infertile"	7
"C_Leader_Insane_1"	1	"C_Leader_Mad"	1
"C_Leader_Insane_2"	2	"C_Leader_Mad"	3
"C_Leader_Insane_3"	3	"C_Leader_Mad"	7
"C_Leader_Intellectual_Pretensions_1"	1	"C_Leader_Intellectual_Pretensions"	1
"C_Leader_Intellectual_Pretensions_2"	2	"C_Leader_Intellectual_Pretensions"	3
"C_Leader_Intellectual_Pretensions_3"	3	"C_Leader_Intellectual_Pretensions"	6
"C_Leader_M_1"	1	"C_Leader_M"	2
"C_Leader_M_2"	2	"C_Leader_M"	4
"C_Leader_M_3"	3	"C_Leader_M"	6
"C_Leader_Merit_1"	1	"C_Leader_Merit"	6
"C_Leader_Mr_Waverley_1"	1	"C_Leader_Mr_Waverley"	1
"C_Leader_Mr_Waverley_2"	2	"C_Leader_Mr_Waverley"	3
"C_Leader_Mr_Waverley_3"	3	"C_Leader_Mr_Waverley"	6
"C_Leader_Natural_King_1"	1	"C_Leader_Natural_King"	1
"C_Leader_Natural_King_2"	2	"C_Leader_Natural_King"	4
"C_Leader_Natural_President_1"	1	"C_Leader_Natural_President"	1
"C_Leader_Natural_President_2"	2	"C_Leader_Natural_President"	3
"C_Leader_Navy_Buff_1"	1	"C_Leader_Navy_Buff"	1
"C_Leader_Navy_Buff_2"	2	"C_Leader_Navy_Buff"	3
"C_Leader_Navy_Buff_3"	3	"C_Leader_Navy_Buff"	6
"C_Leader_Philistine_1"	1	"C_Leader_Philistine"	1
"C_Leader_Philistine_2"	2	"C_Leader_Philistine"	3
"C_Leader_Philistine_3"	3	"C_Leader_Philistine"	6
"C_Leader_Uncouth_1"	1	"C_Leader_Uncouth"	1
"C_Leader_Uncouth_2"	2	"C_Leader_Uncouth"	3
"C_Leader_Uncouth_3"	3	"C_Leader_Uncouth"	6
"C_Leader_Witty_1"	1	"C_Leader_Witty"	1
"C_Leader_Witty_2"	2	"C_Leader_Witty"	3
"C_Minister_Army_Good_1"	1	"C_Minister_Army_Good"	1
"C_Minister_Army_Good_2"	2	"C_Minister_Army_Good"	3
"C_Minister_Army_Good_3"	3	"C_Minister_Army_Good"	6
"C_Minister_Corrupt_1"	1	"C_Minister_Corrupt"	1
"C_Minister_Corrupt_2"	2	"C_Minister_Corrupt"	3
"C_Minister_Corrupt_3"	3	"C_Minister_Corrupt"	6
"C_Minister_Entertainer_1"	1	"C_Minister_Entertainer"	1
"C_Minister_Fiscal_Genius_1"	1	"C_Minister_Fiscal_Genius"	4
"C_Minister_Fiscal_Genius_2"	2	"C_Minister_Fiscal_Genius"	8
"C_Minister_Fiscal_Genius_3"	3	"C_Minister_Fiscal_Genius"	12
"C_Minister_Good_Entertainment_2"	2	"C_Minister_Entertainer"	3
